Player,Equipa,Agente,Rounds,R2.0,ACS,KD,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD,Campeonato
Flashback,DRX,"Neon, Killjoy, Yoru",141,1.11,215.6,1.29,76.0,139.4,0.79,0.17,0.18,0.07,24.0,42%,5/12,25,111,86,24,25,10,vct_pacific_2025_s1
Karon,GEN,"Omen, Brimstone, Astra",472,1.08,207.7,1.1,75.0,134.3,0.73,0.39,0.07,0.06,31.0,19%,10/53,24,345,313,184,33,27,vct_pacific_2025_s1
Munchkin,GEN,"Kayo, Viper, Breach",472,1.07,198.8,1.05,74.0,130.3,0.69,0.39,0.12,0.1,24.0,9%,6/65,29,324,308,183,56,49,vct_pacific_2025_s1
margaret,NS,"Cypher, Viper, Killjoy",333,1.07,205.8,1.13,68.0,135.5,0.74,0.17,0.11,0.09,29.0,21%,8/38,27,248,220,57,35,30,vct_pacific_2025_s1
Kr1stal,GE,"Tejo, Sova, Fade",199,1.07,188.5,1.01,71.0,127.1,0.69,0.23,0.05,0.1,24.0,13%,5/40,19,138,137,45,10,19,vct_pacific_2025_s1
NcSlasher,BME,"Tejo, Breach, Kayo",344,1.05,197.4,1.03,77.0,126.8,0.7,0.37,0.06,0.07,28.0,8%,3/37,22,240,232,127,19,25,vct_pacific_2025_s1
Francis,NS,"Kayo, Tejo, Fade",333,1.05,198.8,1.03,72.0,130.8,0.69,0.28,0.1,0.09,21.0,8%,3/37,25,231,225,92,33,29,vct_pacific_2025_s1
UdoTan,GE,"Cypher, Killjoy, Iso",199,1.04,215.3,1.01,70.0,148.4,0.75,0.22,0.1,0.13,30.0,13%,4/32,28,150,149,43,20,25,vct_pacific_2025_s1
SugarZ3ro,ZETA,"Brimstone, Omen, Viper",255,1.04,181.8,1.05,73.0,116.4,0.7,0.31,0.06,0.05,29.0,13%,4/30,27,178,170,78,15,13,vct_pacific_2025_s1
iZu,T1,"Tejo, Yoru, Cypher",378,1.03,195.8,1.05,73.0,126.2,0.71,0.24,0.07,0.09,30.0,18%,10/57,23,268,256,90,26,35,vct_pacific_2025_s1
something,PRX,"Breach, Sova, Jett",536,1.03,197.8,1.03,71.0,127.4,0.7,0.26,0.15,0.13,26.0,16%,9/58,23,373,361,137,78,69,vct_pacific_2025_s1
BerserX,BME,"Killjoy, Cypher, Viper",344,1.01,196.0,1.05,73.0,127.7,0.69,0.21,0.1,0.08,25.0,25%,13/51,22,236,224,72,33,26,vct_pacific_2025_s1
Ivy,NS,"Tejo, Deadlock, Vyse",333,1.01,172.2,1.01,70.0,112.7,0.65,0.22,0.07,0.07,30.0,14%,6/42,18,215,212,74,22,22,vct_pacific_2025_s1
